117,['jabat'  'legislatif'  'buat'  'penting'  'masyarakat']                         
117,['sempat'  'buat'  'wilayah'  'pilih'  'aceh']                         
117,['langkah'  'b17ak']                            
117,['partisipasi'  'bijak']                            
117,['wujud'  'hebat'  'bingkai'  'syariat']                          
117,['makna'  'baik']                            
102,['1'  'masyarakat']                            
102,['1'  'bijak'  'perintah'  'aceh']                          
102,['motivasi'  'calon'  'anggota'  'dpr'  'aceh'  'partisipasi'  'dorong'  'ekselarasi'  'bangun'   'sejahtera'  'masyarakat'  'aceh'  'fungsi'  'parlementarian'  'amanah'  'atur'  'undang'  'undang']           
102,['ubah'  'kelola'  'perintah'  'aceh'  'salur'  'aspirasi'  'juang'  'hak'  'hak'   'kaum'  'perempuan'  'anak']                 
102,['1'  'masyarakat']                            
106,['mensejahtrakan'                             
104,['isi'  'calon'  'aju'  'calon']                          
118,['baik'  'didik'  'anak'  'anak'  'mandiri']                         
109,['wujud'  'mandiri'  'bingkai'  'syariat'  'islam'  'tata'  'perintah'  'bersih'  'wibawa'   'indonesia'  'sejahtera']                  
107,['besar'  'wilayah'  'provinsi'  'nanggroe'  'aceh'  'darussalam'  'aceh'  'maju'  'bidang']                     
104,['buat'                             
108,['hidup'                             
108,['ikhtiar'  'wujud'  'hidup'  'masyarakat'  'adil']                         
108,['isi'  'calon'  'aju'  'calon']                          
101,['sukses'  'bangsa']                            
101,['corong'  'suara'  'penting'  'public'  'indonesia']                         
110,['warna'  'nasional'  'konsep'  'islam'  'ahlul'  'sunnah'  'jamaah']                       
110,['manusia']                             
111,['kontribusi'  'negeri']                            
109,['kontribusi'  'negara']                            
112,['bantu'  'saudara'  'butuh']                           
104,['bangun'  'daya'  'perempuan']                           
101,['penuh'  'masyarakat'  'bener'  'riah'  'dpr'  'aceh']                        
101,['penuh'  'masyarakat'  'bener'  'riah'  'dpr'  'aceh']                        
101,['penuh'  'masyarakat'  'bener'  'riah'  'dpr'  'aceh']                        
118,['sudut'                             
111,['bangun'  'sejahtera'  'baik'  'layan'  'publik']                         
109,['wujud'  'mandiri'  'bingkai'  'syariat'  'islam'  'tata'  'perintah'  'bersih'  'wibawa'   'indonesia'  'sejahtera']                  
